codigo_partido	nombre	coalicion	partidos_coalicion	tradicional	temporalidad	gradonac	ideologia	paso_ideologia	justificacion_ideologia	grupo_representativo_1	paso1_gr	justificacion_gr_1	grupo_representativo_2	paso2_gr	justificacion_gr_2	part_alcaldia	part_asamblea	part_camara	part_concejo	part_gobernacion	part_presidencia	part_presidencia_1v	part_presidencia_2v	part_senado	fuente_ideologia	fuente_gr
20190636	"COALICION ALCALDIA DE CHIA-CUND.PARTIDO LIBERAL - PARTIDO COLOMBIA RENACIENTE Y MOVIMIENTO MAIS - ""PENSANDO Y SOÑANDO EN CHIA"""	1	"[18480001,20180046,20130002]"	0	"2019-2019"	99	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190637	"COALICION ALCALDIA DE CHIPAQUE-CUND.PARTIDO DE LA U - PARTIDO CAMBIO RADICAL - PARTIDO LIBERAL Y PARTIDO ALIANZA VERDE - ""HAGAMOS DE CHIPAQUE EL MEJOR"""	1	"[20050002,20030001,18480001,20090002]"	0	"2019-2019"	1	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190638	"COALICION ALCALDIA DE CHOACHI-CUND.PARTIDO CAMBIO RADICAL Y PARTIDO LIBERAL - ""LA GENTE PRIMERO"""	1	"[20030001,18480001]"	0	"2019-2019"	1	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190639	"COALICION ALCALDIA DE CHOCONTA-CUND.PARTIDO CAMBIO RADICAL - PARTIDO AICO Y PARTIDO LIBERAL - ""UNIDOS Y COMPROMETIDOS POR CHOCONTA"""	1	"[20030001,19910001,18480001]"	0	"2019-2019"	1	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190640	"COALICION ALCALDIA DE COGUA-CUND.PARTIDO CAMBIO RADICAL - PARTIDO LIBERAL - ALIANZA SOCIAL INDEPENDIENTE Y MOVIMIENTO MAIS - ""SENTIDO POR LO NUESTRO"""	1	"[20030001,18480001,19910006,20130002]"	0	"2019-2019"	1	3		""	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190641	"COALICION ALCALDIA DE COTA-CUND.PARTIDO CAMBIO RADICAL - PARTIDO CENTRO DEMOCRATICO - ALIANZA SOCIAL INDEPENDIENTE Y PARTIDO COLOMBIA JUSTA LIBRES - ""SEAMOS FRANCOS CON COTA"""	1	"[20030001,20130001,19910006,20170001]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190642	"COALICION ALCALDIA DE CUCUNUBA-CUND.PARTIDO DE LA U - PARTIDO CAMBIO RADICAL Y PARTIDO ALIANZA VERDE - ""SALVEMOS NUESTRO CUCUNUBA"""	1	"[20050002,20030001,20090002]"	0	"2019-2019"	1	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190643	"COALICION ALCALDIA DE EL COLEGIO-CUND.PARTIDO CAMBIO RADICAL Y PARTIDO DE LA U - ""MESITAS SEGUIRA ADELANTE"""	1	"[20030001,20050002]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190644	"COALICION ALCALDIA DE EL COLEGIO-CUND.MOVIMIENTO COLEGIUNOS - PARTIDO CONSERVADOR Y PARTIDO ALIANZA VERDE -""UNIDOS ES POSIBLE"""	1	"[20191830,18490002,20090002]"	0	"2019-2019"	0	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190645	"COALICION ALCALDIA DE EL ROSAL-CUND.MOVIMIENTO EL ROSAL - PARTIDO LIBERAL - PARTIDO CONSERVADOR - PARTIDO CAMBIO RADICAL Y PARTIDO CENTRO DEMOCRATICO - ""EL ROSAL PARA VIVIR MEJOR"""	1	"[20191831,18480001,18490002,20030001,20130001]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190646	"COALICION ALCALDIA DE FACATATIVA-CUND.PARTIDO ALIANZA VERDE - PARTIDO DE LA U - MOVIMIENTO MAIS Y PARTIDO COLOMBIA RENACIENTE - ""DIEGO GARZON ALCALDE"""	1	"[20090002,20050002,20130002,20180046]"	0	"2019-2019"	99	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190647	"COALICION ALCALDIA DE FUNZA-CUND.PARTIDO CAMBIO RADICAL - ALIANZA SOCIAL INDEPENDIENTE - PARTIDO ALIANZA VERDE - PARTIDO CONSERVADOR - PARTIDO LIBERAL - MOVIMIENTO MAIS - PARTIDO AICO Y PARTIDO DE LA U - ""CONTIGO FUNZA EVOLUCIONA"""	1	"[20030001,19910006,20090002,18490002,18480001,20130002,19910001,20050002]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
