nombre,tipo_eleccion,votos_totales,n_registros
ASOCIACION POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DEL ATLANTICO KUSUTO,C??mara de Representantes,5838,613
ASOCIACION PRIMERO COLOMBIA,Presidencia,13260490,2350
ASOCIACION REGIONAL DE AFROCOLOMBIANOS LA MINGA - AFROMINGA,C??mara de Representantes,3240,953
ASOCIACIÓN AFRODESCENDIENTES DE NUEVO TAY - AFRODENUTAY,C??mara de Representantes,3449,15
ASOCIACIÓN AGROPECUARIA DE AFRODESCENDIENTES DESPLAZADOS,C??mara de Representantes,1048,39
ASOCIACIÓN ALIANZA POR LA VIDA,C??mara de Representantes,9070,39
ASOCIACIÓN COMITÉ DE DESPLAZADOS MANO DE DIOS NUEVO AMANECER (ASOCODEMAN),C??mara de Representantes,1440,35
ASOCIACIÓN DE CABILDOS INDÍGENAS POR COLOMBIA,Senado,13580,1912
ASOCIACIÓN DE CAMPESINOS UNIDOS DE CAUCASIA- ASOCAMUC,C??mara de Representantes,254,35
ASOCIACIÓN DE DESPLAZADOS DE NECOCLÍ - ASODENE,C??mara de Representantes,2961,24
ASOCIACIÓN DE DESPLAZADOS DEL MUNICIPIO DE EL DONCELLO,C??mara de Representantes,1267,50
ASOCIACIÓN DE HOMBRES DE MI TIERRA,C??mara de Representantes,6710,40
"ASOCIACIÓN DE MUJERES DESPLAZADAS DEL META ""ASOMUDEM""",C??mara de Representantes,1211,34
ASOCIACIÓN DE PRODUCTORES AGROINDUSTRIALES DE MONTERREY SUR,C??mara de Representantes,1691,21
ASOCIACIÓN DE PRODUCTORES DE CACAO APROCASUR,C??mara de Representantes,3725,21
ASOCIACIÓN DE PRODUCTORES DE MESALLANA,C??mara de Representantes,4449,24
ASOCIACIÓN DE SOBREVIVIENTES DE MINAS ANTIPERSONAL LUCHANDO POR LA DIGNIDAD Y LA PAZ,C??mara de Representantes,1869,12
ASOCIACIÓN EL PROGRESO,C??mara de Representantes,346,24
"ASOCIACIÓN GRANJA INTEGRAL TAMARINDO ""GRANITA""",C??mara de Representantes,212,12
ASOCIACIÓN LA MESA MINERA SEGOVIA- REMEDIOS,C??mara de Representantes,1125,31
ASOCIACIÓN MARIA MECHE,C??mara de Representantes,1404,38
ASOCIACIÓN MUJER Y TERRITORIO,C??mara de Representantes,412,44
ASOCIACIÓN MUNICIPAL DE USUARIOS CAMPESINOS DE TIMBIQUÍ,C??mara de Representantes,1212,12
ASOCIACIÓN NACIONAL DE DESPLAZADOS UNIDOS DE COLOMBIA,C??mara de Representantes,195,35
ASOCIACIÓN ORGANIZADA DE CAMPESINOS PRODUCTIVOS ASOCAMPRO,C??mara de Representantes,1148,44
ASOCIACIÓN PROTEGER,C??mara de Representantes,7097,72
ASOENTORNO,C??mara de Representantes,674,42
ASOGRECAN,C??mara de Representantes,231,33
ASOINTEC,C??mara de Representantes,12566,72
ASOLIVIPAZ,C??mara de Representantes,230,12
ASOMEVÍCTIMAS,C??mara de Representantes,755,34
ASPROPISAT,C??mara de Representantes,522,13
AUTORIDAD TRADICIONAL CASIYOUREN,Senado,4041,498
AUTORIDAD TRADICIONAL CASIYOUREN,C??mara de Representantes,1946,1442
AUTORIDADES INDIGENAS DE COLOMBIA - AICO,Concejo Municipal,1798344,15899
AUTORIDADES INDIGENAS DE COLOMBIA - AICO,Alcaldía Municipal,1090804,538
AUTORIDADES INDIGENAS DE COLOMBIA - AICO,Asamblea Departamental,449190,12872
AUTORIDADES INDIGENAS DE COLOMBIA - AICO,Senado,296269,21308
AUTORIDADES INDIGENAS DE COLOMBIA - AICO,C??mara de Representantes,294872,16231
AUTORIDADES INDIGENAS DE COLOMBIA - AICO,Gobernaci??n,200026,576
AUTORIDADES INDIGENAS DE COLOMBIA - AICO,Camara de Representantes,52618,642
AUTORIDADES INDIGENAS DE MEDICINA ANCENTRAL DE COLOMBIA - AIMAC,C??mara de Representantes,1411,1020
AVANCE SOCIAL,Alcaldía Municipal,10124,1
AVANCE SOCIAL,Concejo Municipal,2215,28
AVANCEMOS,Concejo Municipal,2671,16
AVANZA SINCELEJO,Concejo Municipal,3132,17
AVANZAR ES POSIBLE!!,Alcaldía Municipal,74184,1
AVANZAR ES POSIBLE!!,Gobernacion,20363,2
AVANZAR ES POSIBLE!!,Concejo Municipal,13950,20
AVANZAR ES POSIBLE!!,Alcaldia,3512,1
BARRANCABERMEJA CIUDAD FUTURO,Alcaldía Municipal,49987,1
BARRANCABERMEJA EN SERIO,Concejo Municipal,3732,18
BARRANCABERMEJA SOCIAL,Alcaldía Municipal,21909,1
"BASICO, GESTIÓN Y SERVICIO",Alcaldía Municipal,1834,1
BELALCAZAR SOMOS TODOS,Concejo Municipal,1057,12
BELEN UN MUNICIPIO PARA TODOS,Alcaldía Municipal,1350,1
BELLO CIUDAD DE PROGRESO,Alcaldía Municipal,54543,1
BELLO INDEPENDIENTE,Concejo Municipal,3205,20
BELLO POSITIVO,Concejo Municipal,7154,19
BELLO UNIDO,Concejo Municipal,41793,60
BETULIA SOMOS TODOS,Alcaldía Municipal,1096,1
BOGOTA ADELANTE,Alcaldía Municipal,778764,1
BOJACA...UNIDOS CONSTRUYENDO FUTURO,Alcaldía Municipal,563,1
BUCARAMANGA EVOLUCIONA,Alcaldía Municipal,24817,1
BUENOS DIAZ CAJICA,Alcaldía Municipal,8299,1
C.G.T.  CRISTIANA,Presidencia Primera Vuelta,3316,1125
CABILDO DE RESGUARDO INDIGENA ZENU,C??mara de Representantes,45793,7967
CABILDO DEL RESGUARDO DE CALDERAS,Senado,9419,2484
CABILDO DEL RESGUARDO INDIGENA ZENU SAN ANDRES DE SOTAVENTO CORDOBA,Alcaldía Municipal,192273,135
CABILDO DEL RESGUARDO INDIGENA ZENU SAN ANDRES DE SOTAVENTO CORDOBA,Gobernaci??n,15184,134
CABILDO INDIGENA AYWJAWASHI,C??mara de Representantes,7870,888
CABILDO INDIGENA DE PIOYA,C??mara de Representantes,6183,3537
CABILDO INDIGENA DE SAN SEBASTIAN DE LOS LAGOS,Senado,4078,725
CABILDO INDIGENA RESGUARDO DE RIO BLANCO,C??mara de Representantes,14633,1792
"CAICEDONIA, CON LA FRENTE EN ALTO",Alcaldía Municipal,4220,1
CAJICA ACTIVA,Concejo Municipal,1100,14
CAJICA CON TODA SEGURIDAD,Alcaldía Municipal,5644,1
CAJICA DE PIE - EL CAMBIO ES CON TODOS,Alcaldía Municipal,7660,1
CALDAS INTEGRADO SI ES POSIBLE,Gobernaci??n,88891,27
CALDAS TERRITORIO DE OPORTUNIDADES,Gobernaci??n,198562,27
CALI NO SE RINDE,Alcaldía Municipal,4727,1
CALI PUEDE,Concejo Municipal,14828,22
CALI UNA NUEVA CIUDAD,Alcaldía Municipal,222198,1
CAMBIO CON SEGURIDAD,Alcaldía Municipal,15691,1
CAMBIO DEMOCRACIA MALCON,Camara de Representantes,14653,76
CAMBIO SALUDABLE,Alcaldía Municipal,6845,1
CAMBIO SALUDABLE,Concejo Municipal,1497,15
CAMBIO SOCIAL,Concejo Municipal,435,5
CAMBIO Y UNIDAD SOCIAL ALTERNATIVO,Concejo Municipal,383,12
CAMPO PARA TODOS,Gobernaci??n,205720,41
CAMPO PARA TODOS,Alcaldia,1044,1
CANALETE ES DE TODOS,Alcaldía Municipal,2661,1
CANDELARIA NUESTRO COMPROMISO,Alcaldía Municipal,16979,1
CAPACIDAD Y EXPERIENCIA PARA GOBERNAR CON TRANSPARENCIA,Alcaldía Municipal,884,1
CAPACIDAD Y VISIÓN PARA SERVIR A MI GENTE,Alcaldía Municipal,4193,1
CARAMANTA CON SENTIDO DE PERTENENCIA,Alcaldía Municipal,1957,1
CARTAGENA CON FIRMAS,Concejo Municipal,13261,20
CARTAGENA SI PUEDE,Alcaldía Municipal,425,1
"CARUPA PROSPERA, PRODUCTIVA Y EQUITATIVA",Alcaldía Municipal,1399,1
CAUCA QUE QUEREMOS,Gobernaci??n,56043,41
CENTAUROS PA LANTE,Concejo Municipal,3481,16
CENTRO DE EST. COMUNIC. Y PROMO. COMUNITARIA CIMARRON,C??mara de Representantes,829,811
CERTEGUI UNA CAUSA COMUN,Alcaldía Municipal,1284,1
CHIA ACTIVA,Concejo Municipal,2603,16
CHIA RENACE,Concejo Municipal,3528,16
CHIA VISION 2010,Concejo Municipal,926,6
