"codigo_partido","nombre","cluster","tradicional","gradonac","ideologia"
19910006,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI","3",0,0,1
19910007,"MOVIMIENTO ANTIOQUIA UNIDA","2",0,0,4
19910008,"MOVIMIENTO CIVICO POR UNA CUNDINAMARCA NUEVA","2",0,99,4
19910009,"G.S.C  FUERZA PARA EL CAMBIO","2",0,0,4
19910010,"PARTIDO DEMOCRATA CRISTIANO","2",0,0,4
19910011,"MOVIMIENTO CIVICO POPULAR","2",0,0,4
19910012,"MOVIMIENTO DE RENOVACION DEMOCRATICA","2",0,0,4
19910013,"MOVIMIENTO QUINTIN LAME","2",0,0,4
19910014,"MOVIMIENTO UNIDOS POR COLOMBIA","2",0,0,4
19910015,"MOVIMIENTO DE UNIDAD NORTEVALLECAUCANA","2",0,0,4
19910016,"MOVIMIENTO UNION DEMOCRATICA GALANISTA","2",0,0,4
19910017,"MOVIMIENTO UNICO DE RENOVACION CONSERVADORA - MURCO","3",0,0,2
19910018,"MOVIMIENTO POR UN NUEVO PAIS","2",0,0,4
19910019,"COALICION AMPLIA DE SALVACION REGIONAL - CASAR","2",0,99,4
19910020,"UNA VIA AL FUTURO","2",0,99,4
19910021,"MINTEGRADO","2",0,99,4
19910022,"NUEVA FUERZA LIBERAL SOCIAL DEMOCRATA DE COLOMBIA","2",0,99,4
19910023,"ELITE DEL PODER","2",0,99,4
19910024,"AVANCE LIBERAL","2",0,99,4
19910025,"TRANSFORMACION","2",0,99,4
19910026,"MOVIMIENTO DE INTEGRACION POPULAR","2",0,99,4
19910027,"LIBERALISMO INDEPENDIENTE DE RESTAURACI<U+00D3>N LIDER","2",0,99,4
19910028,"GALANISMO DEL PUEBLO","2",0,99,4
19910029,"MOVIMIENTO POR LAS REGIONES DE COLOMBIA","2",0,99,4
19910030,"INSURGENCIA LIBERAL","2",0,99,4
19910031,"UNION DEMOCRATICA GALANISTA","2",0,99,4
19910032,"MOVIMIENTO GALANISTA","2",0,99,4
19910033,"INSURGENCIA POPULAR LIBERAL","2",0,99,4
19910034,"CONVERGENCIA LIBERAL PROGRESISTA","2",0,99,4
19910035,"COMISIONES OBRERAS LIBERALES","2",0,99,4
19910036,"LA FUERZA DEMOCRATICA DE ANDRESPASTRANA","2",0,99,4
19910037,"UNIR- UNION NACIONAL INDEPENDIENTE RENOVADORA","2",0,99,4
19910043,"MOVIMIENTO NACIONAL DE RESERVISTAS DEMOCRATAS","2",0,99,4
19910045,"MOVIMIENTO POL<U+00ED>TICO NUEVA GENERACI<U+00F3>N LA UNIVERSIDAD AL CONGRESO","2",0,99,4
19910046,"FUERZA LIBERAL GAVIRISTA","2",0,99,4
19919997,"PARTIDO DESCONOCIDO PARA EL A<U+00D1>O 1991","2",0,99,4
19919999,"OTROS PARTIDOS O MOVIMIENTOS DE 1991","2",0,99,4
19920001,"MOVIMIENTO NACIONAL PROGRESISTA","4",0,0,4
19920002,"MOVIMIENTO COMPROMISO CIVICO CRISTIANO C4","4",0,0,2
19920003,"MOVIMIENTO C<U+00ED>VICO INDEPENDIENTE ""MCI""","2",0,0,4
19920004,"MOVIMIENTO CONSERVATISMO INDEPENDIENTE","3",0,0,2
19920005,"MOVIMIENTO NACIONAL CONSERVADOR","3",0,0,2
19920006,"RENOVACION COLOMBIA","2",0,0,4
19920007,"MOVIMIENTO ESPERANZA PAZ Y LIBERTAD","3",0,0,1
19920008,"ALTERNATIVA LIBERAL DEL PUEBLO","2",0,0,4
19920009,"ORGANIZACION NACIONAL INDIGENA DE COLOMBIA - ONIC","3",0,0,1
19920010,"ASOCIACION POPULAR DE NEGROS UNIDOS DEL RIO YURUMANGUI - APONURY","2",0,0,4
19920012,"MOVIMIENTO MIBIEN","2",0,99,4
19920013,"FRENTE CIVICO","2",0,99,4
19920014,"MOVIMIENTO CIVICO NACIONAL","2",0,99,4
19920015,"MOVIMIENTO DE ORIENTACI<U+00D3>N ECOL<U+00D3>GICA","2",0,99,4
19920016,"UNO UNE UNIDOS BOLIVARIANOS","2",0,99,4
19920017,"C<U+00CD>VICO ""LA NUEVA POL<U+00CD>TICA""","2",0,99,4
19920019,"FACTOR 3","2",0,99,4
19920020,"MOVIMIENTO "" SOMOS LIBRES""","2",0,99,4
19920021,"MOVIMIENTO RENOVACI<U+00D3>N SOCIAL CAT<U+00D3>LIA","2",0,99,4
19920022,"CAMBIO TOTAL","2",0,99,4
